lat,lon,alt,date,device,os,version
53.3372383118,-2.2568564415,80.3167724609,2013-01-11 18:31:28,"iPhone3,1",6.0.1,1.1
53.4568977356,-2.01483345032,202.485687256,2013-01-11 18:54:56,"iPhone3,1",6.0.1,1.1
53.4720497131,-1.97380304337,201.262191772,2013-01-11 18:59:12,"iPhone3,1",6.0.1,1.1
53.5589485168,-1.81478798389,185.927200317,2013-01-11 19:18:24,"iPhone3,1",6.0.1,1.1
53.5676841736,-1.79507148266,227.178146362,2013-01-11 19:24:48,"iPhone3,1",6.0.1,1.1
53.5690612793,-1.80497419834,228.777130127,2013-01-11 20:20:16,"iPhone3,1",6.0.1,1.1
53.5649299622,-1.77521026134,228.869674683,2013-01-11 20:52:16,"iPhone3,1",6.0.1,1.1
53.5690612793,-1.80498862267,228.99911499,2013-01-11 21:02:56,"iPhone3,1",6.0.1,1.1
53.5683822632,-1.78779006004,177.192489624,2013-01-11 21:30:40,"iPhone3,1",6.0.1,1.1
53.5690841675,-1.80513942242,214.62411499,2013-01-12 14:15:28,"iPhone3,1",6.0.1,1.1
53.5683059692,-1.7876714468,177.22366333,2013-01-12 14:30:24,"iPhone3,1",6.0.1,1.1
53.5672874451,-1.79968523979,175.319229126,2013-01-12 15:40:48,"iPhone3,1",6.0.1,1.1
53.5686454773,-1.78718364239,190.359649658,2013-01-12 16:00:00,"iPhone3,1",6.0.1,1.1
53.5734291077,-1.78497004509,150.644210815,2013-01-13 14:15:28,"iPhone3,1",6.0.1,1.1
53.6107063293,-1.78687703609,143.633422852,2013-01-13 14:21:52,"iPhone3,1",6.0.1,1.1
53.630657196,-1.7955057621,86.0739364624,2013-01-13 14:28:16,"iPhone3,1",6.0.1,1.1
53.6575164795,-1.78154325485,103.567001343,2013-01-13 14:36:48,"iPhone3,1",6.0.1,1.1
53.7041893005,-1.7776402235,108.640007019,2013-01-13 14:45:20,"iPhone3,1",6.0.1,1.1
